hospital_name,hospital_id,hospital_city,hospital_state,latitude,longitude,disease_code,disease_name,total_cases,mean_age,median_age,std_age,min_age,max_age,male_count,total_encounters,male_percentage,age_range,cases_per_encounter,distance_from_center_km
CASPIAN General Hospital,8,CASPIAN,MI,46.063583,-88.625504,J44.9,J44.9,3,60.9,60.9,0.0,60.9,60.9,0,3,0.0,0.0,1.0,5041.037305972056
COOKS General Hospital,585,COOKS,MI,0.0,0.0,J44.9,J44.9,3,72.0,72.0,0.0,72.0,72.0,3,3,100.0,0.0,1.0,6046.16296266651
CORNELL General Hospital,381,CORNELL,MI,0.0,0.0,J44.9,J44.9,3,67.6,67.6,0.0,67.6,67.6,0,3,0.0,0.0,1.0,6046.16296266651
ESCANABA General Hospital,382,ESCANABA,MI,0.0,0.0,J44.9,J44.9,9,56.300000000000004,56.3,0.0,56.3,56.3,0,9,0.0,0.0,1.0,6046.16296266651
ESCANABA General Hospital,504,ESCANABA,MI,0.0,0.0,J44.9,J44.9,3,56.70000000000001,56.7,0.0,56.7,56.7,3,3,100.0,0.0,1.0,6046.16296266651
Escanaba General Hospital,33,Escanaba,MI,45.745247,-87.06458,J44.9,J44.9,15,68.24,70.3,5.881544986529598,57.1,73.2,0,15,0.0,16.1,1.0,4870.820183082134
GLADSTONE General Hospital,68,GLADSTONE,MI,45.852744,-87.021805,J44.9,J44.9,3,58.5,58.5,0.0,58.5,58.5,0,3,0.0,0.0,1.0,4872.140350776469
GULLIVER General Hospital,814,GULLIVER,MI,0.0,0.0,J44.9,J44.9,3,56.1,56.1,0.0,56.1,56.1,0,3,0.0,0.0,1.0,6046.16296266651
GWINN General Hospital,166,GWINN,MI,46.281056,-87.440972,J44.9,J44.9,2,21.3,21.3,0.0,21.3,21.3,0,2,0.0,0.0,1.0,4935.468620805903
GWINN General Hospital,214,GWINN,MI,46.281056,-87.440972,J44.9,J44.9,3,66.0,66.0,0.0,66.0,66.0,0,3,0.0,0.0,1.0,4935.468620805903
HANCOCK General Hospital,2,HANCOCK,MI,47.126871,-88.580956,J44.9,J44.9,6,58.4,58.4,0.0,58.4,58.4,6,6,100.0,0.0,1.0,5091.290816032324
IRON RIVER General Hospital,6,IRON RIVER,MI,46.092732,-88.642354,J44.9,J44.9,3,81.7,81.7,0.0,81.7,81.7,0,3,0.0,0.0,1.0,5044.172046035538
ISHPEMING General Hospital,194,ISHPEMING,MI,46.488547,-87.667636,J44.9,J44.9,2,74.2,74.2,0.0,74.2,74.2,2,2,100.0,0.0,1.0,4968.490217583417
MANISTIQUE General Hospital,746,MANISTIQUE,MI,0.0,0.0,J44.9,J44.9,3,70.3,70.3,0.0,70.3,70.3,3,3,100.0,0.0,1.0,6046.16296266651
MARQUETTE General Hospital,280,MARQUETTE,MI,46.54362,-87.395371,J44.9,J44.9,5,63.2,63.2,0.0,63.2,63.2,0,5,0.0,0.0,1.0,4944.718731714387
MARQUETTE General Hospital,908,MARQUETTE,MI,0.0,0.0,J44.9,J44.9,3,59.0,59.0,0.0,59.0,59.0,0,3,0.0,0.0,1.0,6046.16296266651
NEGAUNEE General Hospital,210,NEGAUNEE,MI,46.509093,-87.606872,J44.9,J44.9,3,73.3,73.3,0.0,73.3,73.3,0,3,0.0,0.0,1.0,4963.609272759504
NEWBERRY General Hospital,105,NEWBERRY,MI,46.354926,-85.509809,J44.9,J44.9,1,56.7,56.7,,56.7,56.7,0,1,0.0,0.0,1.0,4751.103058021096
RAPID RIVER General Hospital,531,RAPID RIVER,MI,0.0,0.0,J44.9,J44.9,3,79.6,79.6,0.0,79.6,79.6,3,3,100.0,0.0,1.0,6046.16296266651
WATERSMEET General Hospital,358,WATERSMEET,MI,0.0,0.0,J44.9,J44.9,3,79.6,79.6,0.0,79.6,79.6,0,3,0.0,0.0,1.0,6046.16296266651
