hospital_name,hospital_id,hospital_city,hospital_state,latitude,longitude,disease_code,disease_name,total_cases,mean_age,median_age,std_age,min_age,max_age,male_count,total_encounters,male_percentage,age_range,cases_per_encounter,distance_from_center_km
CASPIAN General Hospital,8,CASPIAN,MI,46.063583,-88.625504,J18.9,J18.9,6,38.199999999999996,38.2,0.0,38.2,38.2,6,6,100.0,0.0,1.0,3089.0635155661494
CRYSTAL FALLS General Hospital,5,CRYSTAL FALLS,MI,46.098007,-88.334024,J18.9,J18.9,6,48.699999999999996,48.7,0.0,48.7,48.7,0,6,0.0,0.0,1.0,3061.9730407729426
EWEN General Hospital,925,EWEN,MI,0.0,0.0,J18.9,J18.9,3,65.1,65.1,0.0,65.1,65.1,3,3,100.0,0.0,1.0,7998.047120550051
Escanaba General Hospital,33,Escanaba,MI,45.745247,-87.06458,J18.9,J18.9,12,46.5,46.5,0.0,46.5,46.5,0,12,0.0,0.0,1.0,2918.886301602141
GLADSTONE General Hospital,68,GLADSTONE,MI,45.852744,-87.021805,J18.9,J18.9,6,55.5,55.5,0.0,55.5,55.5,0,6,0.0,0.0,1.0,2920.269630414327
GULLIVER General Hospital,708,GULLIVER,MI,0.0,0.0,J18.9,J18.9,6,44.4,44.4,0.0,44.4,44.4,0,6,0.0,0.0,1.0,7998.047120550051
GWINN General Hospital,190,GWINN,MI,46.281056,-87.440972,J18.9,J18.9,5,37.1,37.1,0.0,37.1,37.1,0,5,0.0,0.0,1.0,2983.7414518825835
GWINN General Hospital,201,GWINN,MI,46.281056,-87.440972,J18.9,J18.9,2,59.0,59.0,0.0,59.0,59.0,0,2,0.0,0.0,1.0,2983.7414518825835
IRON RIVER General Hospital,6,IRON RIVER,MI,46.092732,-88.642354,J18.9,J18.9,6,68.8,68.8,0.0,68.8,68.8,6,6,100.0,0.0,1.0,3092.193905920894
MARQUETTE General Hospital,923,MARQUETTE,MI,0.0,0.0,J18.9,J18.9,3,62.20000000000001,62.2,0.0,62.2,62.2,3,3,100.0,0.0,1.0,7998.047120550051
ROCK General Hospital,69,ROCK,MI,46.068845,-87.165974,J18.9,J18.9,2,53.1,53.1,0.0,53.1,53.1,0,2,0.0,0.0,1.0,2945.6940304958807
