id,category,question,complexity,key_challenge,data_available,data_gap,response,sql_used,pipeline_mode,elapsed_ms,error
POP1,Undiagnosed Risk Identification,Find all patients of mine with a BMI > 30 who have not been diagnosed with Type II Diabetes but have elevated HbA1c or fasting glucose.,Inference,Multi-criterion negative + lab logic,True,,"0 patients. The limiting factor was the requirement that patients not have Type II Diabetes, as no patients in this cohort have this condition.","Condition present=['Type II Diabetes'], absent=['Type II Diabetes']",population_sql,23908,
POP2,Undiagnosed Risk Identification,Which of my patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record?,Inference,Undiagnosed CKD detection,True,,"0 patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record. The limiting factor was the presence of a CKD diagnosis code, which was excluded in the criteria.","Condition present=['CKD'], absent=['CKD']",population_sql,21500,
POP3,Undiagnosed Risk Identification,Find all hypertensive patients with no documented antihypertensive prescriptions in the past 6 months.,Inference,Treatment gap + medication absence,False,No prescriptions/medications table in llm_ua_enterprise,4 patients have the condition of being hypertensive. 0 patients have documented antihypertensive prescriptions in the past 6 months. The limiting factor for the count of 0 patients with documented prescriptions was the absence of matching observations in the EHR.,"Absence check: cond=['hypertensive', 'hypertension'], obs_absent=['antihypertensive prescriptions'], date=>= DATE_SUB(NOW(), INTERVAL 6 MONTH)",population_sql,22915,
POP4,Undiagnosed Risk Identification,Which of my patients have had three or more ED visits in the past year for cardiac complaints but no cardiology referral?,Inference,High-utilisation care gap,False,Encounters table only has AMB (ambulatory) class; no ED visits or referral data,0 patients have been seen at 3 or more different hospitals in the specified period. No patient in this cohort has reached that threshold.,"Cross-hospital: min_h=3, contradiction=False",population_sql,13264,
POP5,Undiagnosed Risk Identification,Identify patients over 65 with a COPD diagnosis and no documented spirometry in the past two years.,Inference,Surveillance gap identification,True,,"3 patients have COPD and are over 65. The patients are Mason Lewis (000000003), Mia Scott (000000007), and Lincoln Gray (000000048). No patients have documented spirometry in the past two years.","Absence check: cond=['copd diagnosis', 'copd'], obs_absent=['spirometry'], date=None",population_sql,21761,
POP6,Comorbidity Clustering and Multimorbidity,"How many of my patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad)?",Synthesis,Multi-condition co-occurrence query,True,,"0 patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad). The limiting factor was the absence of documentation for cardiovascular disease and Type II Diabetes in this cohort's EHR. However, there is 1 patient with CKD, which is Lincoln Gray.","Intersection of conditions: ['cardiovascular disease', 'type ii diabetes', 'ckd']",population_sql,24243,
POP7,Comorbidity Clustering and Multimorbidity,What is the most common two-condition comorbidity pair across my patient panel?,Synthesis,Population-level co-occurrence ranking,True,,"The most common two-condition comorbidity pair across the patient panel is 'Chronic obstructive lung disease (disorder)' and 'Hyperlipidemia (disorder)', co-occurring in 3 patient(s): Mason Lewis, Lincoln Gray, Dominic Webb.",Pairwise condition co-occurrence across cohort,population_sql,22620,
POP8,Comorbidity Clustering and Multimorbidity,Which patients in my panel have five or more active chronic conditions across at least three disease categories?,Synthesis,Multimorbidity index computation,True,,10 patients have 5 or more documented active conditions.,Multimorbidity >= 5 conditions,population_sql,16646,
POP9,Comorbidity Clustering and Multimorbidity,How many patients with heart failure also have an active depression diagnosis?,Synthesis,Cross-category comorbidity detection,True,,0 patients have both heart failure and active depression diagnosis. This is because no patients have heart failure documented in this cohort's EHR.,"Intersection of conditions: ['heart failure', 'depression']",population_sql,18903,
POP10,Comorbidity Clustering and Multimorbidity,Group my diabetic patients by glycaemic control status (controlled vs. uncontrolled) and summarise their other comorbidities.,Synthesis,Sub-cohort stratification + analytics,True,,0 patients. The criterion 'controlled vs. uncontrolled glycaemic control status' was the limiting factor.,"Stratification: obs=['glycaemic control'], cond=['diabetic']",population_sql,18206,
