id,category,question,complexity,key_challenge,data_available,data_gap,response,sql_used,pipeline_mode,elapsed_ms,error
POP1,Undiagnosed Risk Identification,Find all patients of mine with a BMI > 30 who have not been diagnosed with Type II Diabetes but have elevated HbA1c or fasting glucose.,Inference,Multi-criterion negative + lab logic,True,,"Based on the structured query results, there are 0 patients who match the criteria of having a BMI > 30 and not being diagnosed with Type II Diabetes but have elevated HbA1c or fasting glucose. This condition is not documented in this cohort.","Intersection of condition groups from: [['diabetes', 'type 2 diabetes', 'diabetes mellitus', 'type 2 diabetes mellitus']]",population_sql,18371,
POP2,Undiagnosed Risk Identification,Which of my patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record?,Inference,Undiagnosed CKD detection,True,,"Based on the provided structured data, 0 patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record.",Condition present + absence filter applied,population_sql,15370,
POP5,Undiagnosed Risk Identification,Identify patients over 65 with a COPD diagnosis and no documented spirometry in the past two years.,Inference,Surveillance gap identification,True,,"4 patients over 65 with a COPD diagnosis were identified: Mason Lewis, Mia Scott, Lincoln Gray, and Dominic Webb.","Intersection of condition groups from: [['copd', 'chronic obstructive', 'chronic obstructive pulmonary disease (copd)']]",population_sql,15222,
POP6,Comorbidity Clustering and Multimorbidity,"How many of my patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad)?",Synthesis,Multi-condition co-occurrence query,True,,"Based on the provided data, 0 patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad). This is because the intersection count is 0, indicating no patients have all three conditions. Additionally, Type II Diabetes is not documented in this cohort, as the search yielded 0 patients.","Intersection of condition groups from: [['diabetes', 'type 2 diabetes', 'diabetes mellitus', 'type 2 diabetes mellitus'], ['chronic kidney disease', 'ckd', 'chronic kidney disease (ckd)']]",population_sql,18794,
POP7,Comorbidity Clustering and Multimorbidity,What is the most common two-condition comorbidity pair across my patient panel?,Synthesis,Population-level co-occurrence ranking,True,,"The most common two-condition comorbidity pair across the patient panel is ""Chronic obstructive lung disease (disorder)"" and ""Hyperlipidemia (disorder)"" with 3 patients (000000003, 000000048, 000000061) having this comorbidity pair.",Pairwise condition co-occurrence across cohort,population_sql,19833,
POP8,Comorbidity Clustering and Multimorbidity,Which patients in my panel have five or more active chronic conditions across at least three disease categories?,Synthesis,Multimorbidity index computation,True,,"10 patients in the cohort have five or more documented active conditions. These patients are Amelia Parker (52 conditions), Brooklyn Coleman (23 conditions), Dominic Webb (21 conditions), Lincoln Gray (20 conditions), Mason Lewis (14 conditions), Mia Scott (9 conditions), Samuel Richardson (9 conditions), Isabella Martin (8 conditions), Charlotte White (5 conditions), and Scarlett Gonzalez (5 conditions).",Patients with >= 5 active conditions,population_sql,20749,
POP9,Comorbidity Clustering and Multimorbidity,How many patients with heart failure also have an active depression diagnosis?,Synthesis,Cross-category comorbidity detection,True,,"Based on the structured query results, there are no patients with both heart failure and active depression diagnosis. The condition ""heart failure"" was not documented in this cohort, as no patients were found to have this condition. However, two patients (000000052 and 000000061) have an active depression diagnosis.","Intersection of condition groups from: [['heart failure', 'congestive heart failure'], ['depression', 'major depression', 'major depressive disorder']]",population_sql,18651,
POP10,Comorbidity Clustering and Multimorbidity,Group my diabetic patients by glycaemic control status (controlled vs. uncontrolled) and summarise their other comorbidities.,Synthesis,Sub-cohort stratification + analytics,True,,"Unfortunately, no patients in this cohort have diabetes as a documented condition.",Stratification by observation: ['HbA1c'],population_sql,13981,
POP17,Preventive Care and Quality Metrics,What percentage of my hypertensive patients have blood pressure controlled below 130/80 based on their most recent recorded reading?,Synthesis,Population BP control rate,True,,"Based on the provided data, all 12 patients have blood pressure readings available. However, the data does not specify whether these readings are the most recent ones. 

To answer the question, we need to know if the readings are the most recent ones, but since the data does not provide this information, we cannot determine if the blood pressure is controlled below 130/80 for these patients.

However, if we assume that the readings provided are the most recent ones, then we can see that all patients have diastolic blood pressure below 80 mmHg, which is below the target of 130/80.",Latest observation values for terms: ['blood pressure'],population_sql,32456,
POP19,Preventive Care and Quality Metrics,How many patients with a previous MI have documented annual lipid panels?,Synthesis,Monitoring compliance metric,True,,"Based on the structured query results, 1 patient with a previous MI has documented annual lipid panels. This patient is Isaac Hernandez (000000041).",Intersection of condition groups from: [['Myocardial infarction (disorder)']],population_sql,16591,
