id,category,question,complexity,key_challenge,data_available,data_gap,response,sql_used,pipeline_mode,elapsed_ms,error
POP1,Undiagnosed Risk Identification,Find all patients of mine with a BMI > 30 who have not been diagnosed with Type II Diabetes but have elevated HbA1c or fasting glucose.,Inference,Multi-criterion negative + lab logic,True,,"0 patients satisfy all criteria for this question.

Required condition ('Type II Diabetes'): 0 patients — not documented in this cohort's EHR.
Excluded condition ('BMI > 30'): 0 patients have this — no exclusions applied.","Condition present=['Type II Diabetes'], absent=['BMI > 30']",population_sql,16644,
POP2,Undiagnosed Risk Identification,Which of my patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record?,Inference,Undiagnosed CKD detection,True,,"0 patients satisfy all criteria for this question.

Required condition ('CKD diagnosis code'): 1 patient(s) — Lincoln Gray.
Excluded by ('CKD diagnosis code'): 1 patient(s) have this — Lincoln Gray.
Lab threshold (eGFR < 60 for more than one year > 60.0): 0 patient(s) — none in this cohort.","Condition present=['CKD diagnosis code'], absent=['CKD diagnosis code']",population_sql,14825,
POP3,Undiagnosed Risk Identification,Find all hypertensive patients with no documented antihypertensive prescriptions in the past 6 months.,Inference,Treatment gap + medication absence,False,No prescriptions/medications table in llm_ua_enterprise,"No medication prescription data exists in this database (no prescriptions table).
Clinical notes were searched — no matching drug mentions found for this cohort.

Patients with related conditions that may be relevant:
  - 'hypertensive': Mason Lewis, Amelia Parker, Samuel Richardson, Brooklyn Coleman","Notes fallback: medication terms ['antihypertensive prescriptions', 'hypertensive', 'antihypertensive']",population_no_data,15096,
POP4,Undiagnosed Risk Identification,Which of my patients have had three or more ED visits in the past year for cardiac complaints but no cardiology referral?,Inference,High-utilisation care gap,False,Encounters table only has AMB (ambulatory) class; no ED visits or referral data,0 patients have been seen at 1 or more different hospitals in the specified period. No patient in this cohort has reached that threshold.,"Cross-hospital: min_h=1, contradiction=False",population_sql,13675,
POP5,Undiagnosed Risk Identification,Identify patients over 65 with a COPD diagnosis and no documented spirometry in the past two years.,Inference,Surveillance gap identification,True,,"3 patient(s) have copd but no spirometry documented: Mason Lewis, Mia Scott, Lincoln Gray.
'spirometry' is not recorded for any patient in this cohort — this data type is not in the structured database.
Age filter applied: 7 of 12 patients are over 65 in this cohort.","Absence check: cond=['copd', 'chronic obstructive'], obs_absent=['spirometry'], date=None",population_sql,13674,
POP6,Comorbidity Clustering and Multimorbidity,"How many of my patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad)?",Synthesis,Multi-condition co-occurrence query,True,,"0 patients satisfy all 3 condition(s) simultaneously.

Per-condition breakdown:
  - cardiovascular disease: 0 patients — not documented in this cohort's EHR
  - type ii diabetes: 0 patients — not documented in this cohort's EHR
  - ckd: 1 patient(s) — Lincoln Gray

Closest near-miss: Lincoln Gray satisfies 1 of 3 conditions.","Intersection of conditions: ['cardiovascular disease', 'type ii diabetes', 'ckd']",population_sql,14034,
POP7,Comorbidity Clustering and Multimorbidity,What is the most common two-condition comorbidity pair across my patient panel?,Synthesis,Population-level co-occurrence ranking,True,,"The most common two-condition comorbidity pair across the patient panel is 'Chronic obstructive lung disease (disorder)' and 'Hyperlipidemia (disorder)', co-occurring in 3 patient(s): Mason Lewis, Lincoln Gray, Dominic Webb.",Pairwise condition co-occurrence across cohort,population_sql,13104,
POP8,Comorbidity Clustering and Multimorbidity,Which patients in my panel have five or more active chronic conditions across at least three disease categories?,Synthesis,Multimorbidity index computation,True,,"10 of 12 patients have 5 or more documented active conditions: Amelia Parker (52 conditions), Brooklyn Coleman (23 conditions), Dominic Webb (21 conditions), Lincoln Gray (20 conditions), Mason Lewis (14 conditions), Mia Scott (9 conditions), Samuel Richardson (9 conditions), Isabella Martin (8 conditions), Charlotte White (5 conditions), Scarlett Gonzalez (5 conditions). Note: disease category classification is not encoded in the structured database; these patients span diverse diagnostic areas based on their high condition counts.",Multimorbidity >= 5 conditions,population_sql,12761,
POP9,Comorbidity Clustering and Multimorbidity,How many patients with heart failure also have an active depression diagnosis?,Synthesis,Cross-category comorbidity detection,True,,"0 patients satisfy all 2 condition(s) simultaneously.

Per-condition breakdown:
  - heart failure: 0 patients — not documented in this cohort's EHR
  - depression: 2 patient(s) — Brooklyn Coleman, Dominic Webb

Closest near-miss: Brooklyn Coleman, Dominic Webb each satisfy 1 of 2 conditions.","Intersection of conditions: ['heart failure', 'depression']",population_sql,13110,
POP10,Comorbidity Clustering and Multimorbidity,Group my diabetic patients by glycaemic control status (controlled vs. uncontrolled) and summarise their other comorbidities.,Synthesis,Sub-cohort stratification + analytics,True,,0 patients have 'diabetic patients' documented in this cohort's EHR. Stratification by glycaemic control cannot be performed.,"Stratification: obs=['glycaemic control'], cond=['diabetic patients']",population_sql,13559,
