id,category,question,complexity,key_challenge,data_available,data_gap,response,sql_used,pipeline_mode,elapsed_ms,error
POP1,Undiagnosed Risk Identification,Find all patients of mine with a BMI > 30 who have not been diagnosed with Type II Diabetes but have elevated HbA1c or fasting glucose.,Inference,Multi-criterion negative + lab logic,True,,"0 patients match the query criteria. The criterion that eliminated the most patients was the requirement for Type II Diabetes diagnosis, which none of the patients have.","Condition present=['Type II Diabetes'], absent=['BMI > 30']",population_sql,22131,
POP2,Undiagnosed Risk Identification,Which of my patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record?,Inference,Undiagnosed CKD detection,True,,"0 patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record. The criterion that eliminated the most patients was the presence of a CKD diagnosis code, which was found in patient 000000048.","Condition present=['CKD'], absent=['CKD']",population_sql,22417,
POP3,Undiagnosed Risk Identification,Find all hypertensive patients with no documented antihypertensive prescriptions in the past 6 months.,Inference,Treatment gap + medication absence,False,No prescriptions/medications table in llm_ua_enterprise,There are 0 patients with hypertension and no documented antihypertensive prescriptions in the past 6 months. This is because no patients have a recorded hypertension diagnosis and no patients have antihypertensive prescriptions in the past 6 months.,"Absence check: cond=['hypertensive', 'hypertension'], obs_absent=['antihypertensive prescriptions'], date=>= DATE_SUB(NOW(), INTERVAL 6 MONTH)",population_sql,23396,
POP4,Undiagnosed Risk Identification,Which of my patients have had three or more ED visits in the past year for cardiac complaints but no cardiology referral?,Inference,High-utilisation care gap,False,Encounters table only has AMB (ambulatory) class; no ED visits or referral data,"0 patients have had three or more ED visits in the past year for cardiac complaints but no cardiology referral. This query could not be evaluated because the data is missing from the EHR - specifically, the 'cardiology_referral' and 'ED_visits' tables are not provided, which are necessary to determine the number of ED visits and whether a cardiology referral was made.","Cross-hospital: min_h=3, contradiction=False",population_sql,22780,
POP5,Undiagnosed Risk Identification,Identify patients over 65 with a COPD diagnosis and no documented spirometry in the past two years.,Inference,Surveillance gap identification,True,,"There are 0 patients over 65 with a COPD diagnosis and no documented spirometry in the past two years. This is because all patients with COPD (Mason Lewis, Mia Scott, and Lincoln Gray) have documented spirometry within the past two years, as indicated by the ""patients_with_observation_in_window"" list being empty.","Absence check: cond=['copd', 'chronic obstructive'], obs_absent=['spirometry'], date=None",population_sql,23368,
POP6,Comorbidity Clustering and Multimorbidity,"How many of my patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad)?",Synthesis,Multi-condition co-occurrence query,True,,"0 patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad). The criterion that eliminated the most patients was the presence of cardiovascular disease, as no patients were found to have this condition.","Intersection of conditions: ['cardiovascular disease', 'type ii diabetes', 'ckd']",population_sql,21436,
POP7,Comorbidity Clustering and Multimorbidity,What is the most common two-condition comorbidity pair across my patient panel?,Synthesis,Population-level co-occurrence ranking,True,,"The most common two-condition comorbidity pair across the patient panel is Chronic obstructive lung disease (disorder) and Hyperlipidemia (disorder), found in 3 patients: 000000003, 000000048, and 000000061.",Pairwise condition co-occurrence across cohort,population_sql,21225,
POP8,Comorbidity Clustering and Multimorbidity,Which patients in my panel have five or more active chronic conditions across at least three disease categories?,Synthesis,Multimorbidity index computation,True,,"10 patients in the cohort have five or more active chronic conditions. These patients are Amelia Parker (52 conditions), Brooklyn Coleman (23 conditions), Dominic Webb (21 conditions), Lincoln Gray (20 conditions), Mason Lewis (14 conditions), Mia Scott (9 conditions), Samuel Richardson (9 conditions), Isabella Martin (8 conditions), Charlotte White (5 conditions), and Scarlett Gonzalez (5 conditions).",Multimorbidity >= 5 conditions,population_sql,24284,
POP9,Comorbidity Clustering and Multimorbidity,How many patients with heart failure also have an active depression diagnosis?,Synthesis,Cross-category comorbidity detection,True,,"0 patients have both heart failure and active depression diagnosis. The condition ""heart failure"" is not documented in the EHR for any patient.","Intersection of conditions: ['heart failure', 'depression']",population_sql,17562,
POP10,Comorbidity Clustering and Multimorbidity,Group my diabetic patients by glycaemic control status (controlled vs. uncontrolled) and summarise their other comorbidities.,Synthesis,Sub-cohort stratification + analytics,True,,0 patients have diabetes.,"Stratification: obs=['glycaemic control'], cond=['diabetic patients']",population_sql,16418,
POP11,Medication and Safety Surveillance,Which patients are currently prescribed an NSAID and also have a documented peptic ulcer disease diagnosis or CKD?,Inference,Drug-disease interaction surveillance,False,No prescriptions/medications table in llm_ua_enterprise,"Based on the structured query results, 0 patients are currently prescribed an NSAID and also have a documented peptic ulcer disease diagnosis or CKD. This is because no patients have all the conditions (intersection_count: 0). However, 1 patient has a documented CKD diagnosis (000000048).","Intersection of conditions: ['nsaid prescription', 'peptic ulcer disease diagnosis', 'ckd']",population_sql,21615,
