id,category,question,complexity,key_challenge,data_available,data_gap,response,sql_used,pipeline_mode,elapsed_ms,error
POP1,Undiagnosed Risk Identification,Find all patients of mine with a BMI > 30 who have not been diagnosed with Type II Diabetes but have elevated HbA1c or fasting glucose.,Inference,Multi-criterion negative + lab logic,True,,"0 patients satisfy all criteria for this question.

Required condition ('Type II Diabetes'): 0 patients — not documented in this cohort's EHR.
Excluded condition ('Type II Diabetes'): 0 patients have this — no exclusions applied.","Condition present=['Type II Diabetes'], absent=['Type II Diabetes']",population_sql,19064,
POP2,Undiagnosed Risk Identification,Which of my patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record?,Inference,Undiagnosed CKD detection,True,,"0 patients satisfy all criteria for this question.

Required condition ('CKD diagnosis code'): 1 patient(s) — Lincoln Gray.
Excluded by ('CKD diagnosis code'): 1 patient(s) have this — Lincoln Gray.","Condition present=['CKD diagnosis code'], absent=['CKD diagnosis code']",population_sql,14837,
POP3,Undiagnosed Risk Identification,Find all hypertensive patients with no documented antihypertensive prescriptions in the past 6 months.,Inference,Treatment gap + medication absence,False,No prescriptions/medications table in llm_ua_enterprise,"4 patient(s) have hypertensive but no antihypertensive prescriptions documented: Mason Lewis, Amelia Parker, Samuel Richardson, Brooklyn Coleman.
'antihypertensive prescriptions' is not recorded for any patient in this cohort — this data type is not in the structured database.","Absence check: cond=['hypertensive', 'hypertension'], obs_absent=['antihypertensive prescriptions'], date=>= DATE_SUB(NOW(), INTERVAL 6 MONTH)",population_sql,15003,
POP4,Undiagnosed Risk Identification,Which of my patients have had three or more ED visits in the past year for cardiac complaints but no cardiology referral?,Inference,High-utilisation care gap,False,Encounters table only has AMB (ambulatory) class; no ED visits or referral data,"12 patient(s) have been seen at 1 or more different hospitals in the consortium: Amelia Parker (5 hospitals), Dominic Webb (3 hospitals), Mason Lewis (2 hospitals), Isabella Martin (2 hospitals), Mia Scott (2 hospitals), Samuel Richardson (2 hospitals), Lincoln Gray (2 hospitals), Brooklyn Coleman (2 hospitals), Christian Dean (2 hospitals), Charlotte White (1 hospital), Isaac Hernandez (1 hospital), Scarlett Gonzalez (1 hospital).","Cross-hospital: min_h=1, contradiction=False",population_sql,13491,
POP5,Undiagnosed Risk Identification,Identify patients over 65 with a COPD diagnosis and no documented spirometry in the past two years.,Inference,Surveillance gap identification,True,,"3 patient(s) have copd but no lung function test documented: Mason Lewis, Mia Scott, Lincoln Gray.
'lung function test' is not recorded for any patient in this cohort — this data type is not in the structured database.
All 3 patient(s) listed above are over 65 (7 of 12 total cohort members qualify).","Absence check: cond=['copd', 'chronic obstructive'], obs_absent=['lung function test'], date=None",population_sql,14404,
POP6,Comorbidity Clustering and Multimorbidity,"How many of my patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad)?",Synthesis,Multi-condition co-occurrence query,True,,"0 patients satisfy all 3 condition(s) simultaneously.

Per-condition breakdown:
  - cardiovascular disease: 0 patients — not documented in this cohort's EHR (ES semantic search also tried related terms: disease of cardiovascular system (disorder), coronary artery disease, disease of artery (disorder) — condition is not present in this dataset)
  - type ii diabetes: 0 patients — not documented in this cohort's EHR (ES semantic search also tried related terms: diabetes mellitus type 2 (disorder), diabetes mellitus type 2 in obese (disorder), diabetes mellitus — condition is not present in this dataset)
  - ckd: 1 patient(s) — Lincoln Gray

Closest near-miss: Lincoln Gray satisfies 1 of 3 conditions.","Intersection of conditions: ['cardiovascular disease', 'type ii diabetes', 'ckd']",population_sql,14062,
POP7,Comorbidity Clustering and Multimorbidity,What is the most common two-condition comorbidity pair across my patient panel?,Synthesis,Population-level co-occurrence ranking,True,,"The most common two-condition comorbidity pair across the patient panel is 'Chronic obstructive lung disease (disorder)' and 'Hyperlipidemia (disorder)', co-occurring in 3 patient(s): Mason Lewis, Lincoln Gray, Dominic Webb.",Pairwise condition co-occurrence across cohort,population_sql,12843,
POP8,Comorbidity Clustering and Multimorbidity,Which patients in my panel have five or more active chronic conditions across at least three disease categories?,Synthesis,Multimorbidity index computation,True,,"10 of 12 patients have 5 or more documented active conditions: Amelia Parker (52 conditions), Brooklyn Coleman (23 conditions), Dominic Webb (21 conditions), Lincoln Gray (20 conditions), Mason Lewis (14 conditions), Mia Scott (9 conditions), Samuel Richardson (9 conditions), Isabella Martin (8 conditions), Charlotte White (5 conditions), Scarlett Gonzalez (5 conditions). Note: disease category classification is not encoded in the structured database; these patients span diverse diagnostic areas based on their high condition counts.",Multimorbidity >= 5 conditions,population_sql,13371,
POP9,Comorbidity Clustering and Multimorbidity,How many patients with heart failure also have an active depression diagnosis?,Synthesis,Cross-category comorbidity detection,True,,"0 patients satisfy all 2 condition(s) simultaneously.

Per-condition breakdown:
  - heart failure: 0 patients — not documented in this cohort's EHR (ES semantic search also tried related terms: chronic heart failure (disorder), congestive heart failure, diastolic heart failure (disorder) — condition is not present in this dataset)
  - depression: 2 patient(s) — Brooklyn Coleman, Dominic Webb

Closest near-miss: Brooklyn Coleman, Dominic Webb each satisfy 1 of 2 conditions.","Intersection of conditions: ['heart failure', 'depression']",population_sql,13196,
POP10,Comorbidity Clustering and Multimorbidity,Group my diabetic patients by glycaemic control status (controlled vs. uncontrolled) and summarise their other comorbidities.,Synthesis,Sub-cohort stratification + analytics,True,,"0 patients have 'diabetic' documented in this cohort's EHR (searched: 'diabetic', 'diabetes', 'diabetic patients', 'type 2 diabetes'). Stratification by glycaemic control cannot be performed.","Stratification: obs=['glycaemic control'], cond=['diabetic', 'diabetes']",population_sql,13606,
POP11,Medication and Safety Surveillance,Which patients are currently prescribed an NSAID and also have a documented peptic ulcer disease diagnosis or CKD?,Inference,Drug-disease interaction surveillance,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients satisfy all 3 condition(s) simultaneously.

Per-condition breakdown:
  - nsaid: 0 patients — not documented in this cohort's EHR (ES semantic search also tried related terms: chronic adenoiditis, duodenitis, atopic dermatitis, unspecified — condition is not present in this dataset)
  - peptic ulcer disease: 0 patients — not documented in this cohort's EHR (ES semantic search also tried related terms: acute gastric ulcer (disorder), duodenal ulcer disease (disorder), disease of stomach (disorder) — condition is not present in this dataset)
  - chronic kidney disease: 1 patient(s) — Lincoln Gray

Closest near-miss: Lincoln Gray satisfies 1 of 3 conditions.","Intersection of conditions: ['nsaid', 'peptic ulcer disease', 'chronic kidney disease']",population_sql,15161,
POP12,Medication and Safety Surveillance,Find all patients on long-term corticosteroids with no osteoporosis diagnosis or DEXA scan on record.,Inference,Preventive care gap for medication risk,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients satisfy all criteria for this question.

Required condition ('long-term corticosteroids'): 0 patients — not documented in this cohort's EHR.
Excluded condition ('osteoporosis'): 0 patients have this — no exclusions applied.","Condition present=['long-term corticosteroids'], absent=['osteoporosis']",population_sql,13975,
POP13,Medication and Safety Surveillance,Which of my patients are prescribed both an anticoagulant and an antiplatelet agent without a documented indication for dual therapy?,Inference,Polypharmacy safety alert,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients satisfy all 2 condition(s) simultaneously.

Per-condition breakdown:
  - anticoagulant: 1 patient(s) — Mia Scott
  - antiplatelet agent: 0 patients — not documented in this cohort's EHR (ES semantic search also tried related terms: antiphospholipid syndrome (disorder), anemia caused by antineoplastic agent, chromhidrosis (disorder) — condition is not present in this dataset)

Closest near-miss: Mia Scott satisfies 1 of 2 conditions.","Intersection of conditions: ['anticoagulant', 'antiplatelet agent']",population_sql,13721,
POP14,Medication and Safety Surveillance,How many patients have been prescribed opioids for more than 90 consecutive days in the past year?,Synthesis,Chronic opioid use surveillance,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients satisfy all criteria for this question.

Required condition ('prescribed opioids'): 0 patients — not documented in this cohort's EHR.
Excluded condition ('opioid prescription for more than 90 consecutive days'): 0 patients have this — no exclusions applied.","Condition present=['prescribed opioids'], absent=['opioid prescription for more than 90 consecutive days']",population_sql,13820,
POP15,Medication and Safety Surveillance,List patients who are currently on metformin but have documented eGFR < 30.,Inference,Guideline-based contraindication alert,False,No prescriptions/medications table in llm_ua_enterprise,"0 patients satisfy all 2 condition(s) simultaneously.

Per-condition breakdown:
  - currently on metformin: 0 patients — not documented in this cohort's EHR (ES semantic search also tried related terms: drug therapy finding (finding), cocaine abuse, in remission, 6 wk suboxone — condition is not present in this dataset)
  - eGFR: 0 patients — not documented in this cohort's EHR (ES semantic search also tried related terms: avr, e66.9 (icd-10-cm) - obesity, effusion, right knee — condition is not present in this dataset)","Intersection of conditions: ['currently on metformin', 'eGFR']",population_sql,14541,
POP16,Preventive Care and Quality Metrics,How many of my diabetic patients aged 40-75 are not on a statin despite no documented contraindication?,Inference,Quality measure gap (HEDIS DM-CE),False,No prescriptions/medications table in llm_ua_enterprise,"0 patients satisfy all criteria for this question.

No patients have 'diabetic' documented in this cohort's EHR.
'statin prescription' is not recorded for any patient in this cohort — this data type is not in the structured database.","Absence check: cond=['diabetic', 'diabetes'], obs_absent=['statin prescription'], date=None",population_sql,14696,
POP17,Preventive Care and Quality Metrics,What percentage of my hypertensive patients have blood pressure controlled below 130/80 based on their most recent recorded reading?,Synthesis,Population BP control rate,True,,"5 of 12 patients (41%) have blood pressure < 130.0 based on their most recent recorded reading.
Patients meeting threshold: Mason Lewis, Isabella Martin, Mia Scott, Samuel Richardson, Scarlett Gonzalez.
Patients NOT meeting threshold (7): Amelia Parker, Charlotte White, Isaac Hernandez, Lincoln Gray, Brooklyn Coleman, Christian Dean, Dominic Webb.","Latest observation: ['blood pressure'], threshold: <130.0",population_sql,13841,
POP18,Preventive Care and Quality Metrics,Which patients over 50 in my panel have no documented colorectal cancer screening in the past 10 years?,Inference,Cancer screening gap detection,False,Colorectal cancer screening not documented in observations table,"9 patient(s) are over 50 in this cohort: Mason Lewis, Amelia Parker, Mia Scott, Samuel Richardson, Isaac Hernandez, Lincoln Gray, Brooklyn Coleman, Christian Dean, Dominic Webb.
No 'colorectal cancer screening' is documented for any of them — this screening type is not recorded in the structured database.","Absence check: cond=['colorectal cancer'], obs_absent=['colorectal cancer screening'], date=>= DATE_SUB(NOW(), INTERVAL 10 YEAR)",population_sql,15123,
POP19,Preventive Care and Quality Metrics,How many patients with a previous MI have documented annual lipid panels?,Synthesis,Monitoring compliance metric,True,,"0 patients satisfy all 2 condition(s) simultaneously.

Per-condition breakdown:
  - previous mi: 1 patient(s) — Mia Scott
  - lipid panel: 2 patient(s) — Samuel Richardson, Isaac Hernandez

Closest near-miss: Mia Scott, Samuel Richardson, Isaac Hernandez each satisfy 1 of 2 conditions.","Intersection of conditions: ['previous mi', 'lipid panel']",population_sql,13211,
POP20,Preventive Care and Quality Metrics,Find all patients in my panel who have been hospitalised in the past year and have no documented primary care follow-up within 30 days of discharge.,Inference,Transition of care quality metric,False,Encounters table only has AMB class; no inpatient/hospitalisation data,"0 patients satisfy all criteria for this question.

12 patient(s) have encounters recorded (18 total, all ambulatory class): Mason Lewis, Isabella Martin, Amelia Parker, Mia Scott, Charlotte White, Samuel Richardson, Isaac Hernandez, Lincoln Gray, Brooklyn Coleman, Christian Dean, Dominic Webb, Scarlett Gonzalez. No inpatient hospitalisations found — this dataset contains only outpatient visits.
'primary care follow-up within 30 days of discharge' is not recorded for any patient in this cohort — this data type is not in the structured database.","Absence check: cond=['hospitalised in the past year'], obs_absent=['primary care follow-up within 30 days of discharge'], date=>= DATE_SUB(NOW(), INTERVAL 30 DAY)",population_sql,15671,
POP21,Cross-Hospital Utilisation and Care Coordination,Which patients have been seen at more than three different hospitals in the consortium in the past two years?,Synthesis,Multi-site utilisation tracking,True,,"2 patient(s) have been seen at 3 or more different hospitals in the consortium: Amelia Parker (5 hospitals), Dominic Webb (3 hospitals).","Cross-hospital: min_h=3, contradiction=False",population_sql,13495,
