id,question,pipeline_mode,medical_accuracy,safety,completeness,helpfulness,clarity,weighted_score,reasoning,error
POP1,Find all patients of mine with a BMI > 30 who have not been diagnosed with Type II Diabetes but have elevated HbA1c or f,population_sql,5,5,5,5,5,5.0,Correctly handled absent condition,
POP2,Which of my patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record?,population_sql,5,5,5,5,5,5.0,Accurate condition filtering and exclusion,
POP3,Find all hypertensive patients with no documented antihypertensive prescriptions in the past 6 months.,population_sql,5,5,4,5,5,4.8,Accurate and clear patient list provided,
POP4,Which of my patients have had three or more ED visits in the past year for cardiac complaints but no cardiology referral,population_sql,5,5,5,5,5,5.0,Accurate and safe cohort identification,
POP5,Identify patients over 65 with a COPD diagnosis and no documented spirometry in the past two years.,population_sql,5,5,5,5,4,4.9,Clear and concise patient list provided,
POP6,"How many of my patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabol",population_sql,5,5,5,4,5,4.85,Accurate intersection of conditions reported,
POP7,What is the most common two-condition comorbidity pair across my patient panel?,population_sql,5,5,4,5,5,4.8,Correct comorbidity pair identification,
POP8,Which patients in my panel have five or more active chronic conditions across at least three disease categories?,population_sql,5,5,5,5,5,5.0,Correctly identified patients with multimorbidity,
POP9,How many patients with heart failure also have an active depression diagnosis?,population_sql,5,5,5,4,5,4.85,Accurate condition intersection reported,
POP10,Group my diabetic patients by glycaemic control status (controlled vs. uncontrolled) and summarise their other comorbidi,population_sql,5,5,5,4,5,4.85,Accurate stratification of diabetic patients,
POP11,Which patients are currently prescribed an NSAID and also have a documented peptic ulcer disease diagnosis or CKD?,population_sql,5,5,5,5,5,5.0,Accurate and safe query result presentation,
POP12,Find all patients on long-term corticosteroids with no osteoporosis diagnosis or DEXA scan on record.,population_sql,5,5,5,5,5,5.0,Accurate result with clear explanation,
POP13,Which of my patients are prescribed both an anticoagulant and an antiplatelet agent without a documented indication for ,population_sql,5,5,5,4,5,4.85,Clear and concise query result presentation,
POP14,How many patients have been prescribed opioids for more than 90 consecutive days in the past year?,population_sql,5,5,5,5,5,5.0,Correctly stated no patients match criteria,
POP15,List patients who are currently on metformin but have documented eGFR < 30.,population_sql,5,5,5,5,5,5.0,Accurate absence check with clear explanation,
POP16,How many of my diabetic patients aged 40-75 are not on a statin despite no documented contraindication?,population_sql,5,5,5,5,5,5.0,No matching patients found in dataset,
POP17,What percentage of my hypertensive patients have blood pressure controlled below 130/80 based on their most recent recor,population_sql,1,5,2,3,2,2.6,Lack of context and unit explanation,
POP18,Which patients over 50 in my panel have no documented colorectal cancer screening in the past 10 years?,population_sql,5,5,5,5,5,5.0,Accurate absence check with clear explanation,
POP19,How many patients with a previous MI have documented annual lipid panels?,population_sql,3,5,4,5,4,4.1,"Partial data, unclear patient count",
POP20,Find all patients in my panel who have been hospitalised in the past year and have no documented primary care follow-up ,population_sql,5,5,5,5,5,5.0,Correctly handled absent condition,
POP21,Which patients have been seen at more than three different hospitals in the consortium in the past two years?,population_sql,5,5,5,4,5,4.85,Clear and concise query,
POP22,"Are there patients in my panel whose diagnoses at one consortium hospital contradict diagnoses at another (e.g., coded a",population_sql,5,5,4,5,5,4.8,Accurate diagnosis comparison,
POP23,Find patients with a heart failure diagnosis who have had no echocardiogram recorded at any consortium site in the past ,population_sql,5,5,5,5,5,5.0,Accurate absence check with clear explanation,
POP24,Which of my complex patients have been seen by more than four specialities across the consortium in the past year?,population_sql,5,5,5,5,5,5.0,Clear and concise answer with correct SQL query,
POP25,"How many patients have had duplicate imaging studies (same modality, same body part) within 90 days across different con",population_sql,5,5,5,4,5,4.85,Clear and concise answer,
