id,category,question,complexity,key_challenge,data_available,data_gap,response,sql_used,pipeline_mode,elapsed_ms,error
POP1,Undiagnosed Risk Identification,Find all patients of mine with a BMI > 30 who have not been diagnosed with Type II Diabetes but have elevated HbA1c or fasting glucose.,Inference,Multi-criterion negative + lab logic,True,,"Based on the provided structured query results, there are 0 patients who meet the specified criteria. The criteria breakdown indicates that no patients have the required condition of Type II Diabetes, which eliminated all potential patients.","Condition present=['Type II Diabetes'], absent=['BMI > 30']",population_sql,23064,
POP2,Undiagnosed Risk Identification,Which of my patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record?,Inference,Undiagnosed CKD detection,True,,"Based on the structured query results, there are no patients who meet the criteria of having eGFR < 60 for more than one year but have no CKD diagnosis code in their record. The breakdown shows that the patient ""000000048"" meets both the required condition (CKD) and the excluded condition (CKD), indicating that this patient has a CKD diagnosis code in their record.","Condition present=['CKD'], absent=['CKD']",population_sql,24807,
POP3,Undiagnosed Risk Identification,Find all hypertensive patients with no documented antihypertensive prescriptions in the past 6 months.,Inference,Treatment gap + medication absence,False,No prescriptions/medications table in llm_ua_enterprise,"There are 4 patients with hypertension and no documented antihypertensive prescriptions in the past 6 months. These patients are Mason Lewis (000000003), Amelia Parker (000000005), Samuel Richardson (000000026), and Brooklyn Coleman (000000052).","Absence check: cond=['hypertensive', 'hypertension'], obs_absent=['antihypertensive prescriptions'], date=>= DATE_SUB(NOW(), INTERVAL 6 MONTH)",population_sql,23248,
POP4,Undiagnosed Risk Identification,Which of my patients have had three or more ED visits in the past year for cardiac complaints but no cardiology referral?,Inference,High-utilisation care gap,False,Encounters table only has AMB (ambulatory) class; no ED visits or referral data,"Unfortunately, the structured data provided does not contain the necessary information to answer the question. The query results indicate that no patients match the specified criteria.","Cross-hospital: min_h=3, contradiction=False",population_sql,19599,
POP5,Undiagnosed Risk Identification,Identify patients over 65 with a COPD diagnosis and no documented spirometry in the past two years.,Inference,Surveillance gap identification,True,,"There are 3 patients over 65 with a COPD diagnosis and no documented spirometry in the past two years. These patients are Mason Lewis (000000003), Mia Scott (000000007), and Lincoln Gray (000000048).","Absence check: cond=['copd', 'chronic obstructive'], obs_absent=['spirometry'], date=None",population_sql,22125,
POP6,Comorbidity Clustering and Multimorbidity,"How many of my patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad)?",Synthesis,Multi-condition co-occurrence query,True,,"Based on the query results, 0 patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad). 

Cardiovascular disease is not documented in the EHR for any patients. 
CKD is documented in the EHR for patient 000000048.","Intersection of conditions: ['cardiovascular disease', 'type ii diabetes', 'ckd']",population_sql,23155,
POP7,Comorbidity Clustering and Multimorbidity,What is the most common two-condition comorbidity pair across my patient panel?,Synthesis,Population-level co-occurrence ranking,True,,"The most common two-condition comorbidity pair across my patient panel is Chronic obstructive lung disease (disorder) and Hyperlipidemia (disorder), found in 3 patients.",Pairwise condition co-occurrence across cohort,population_sql,20836,
POP8,Comorbidity Clustering and Multimorbidity,Which patients in my panel have five or more active chronic conditions across at least three disease categories?,Synthesis,Multimorbidity index computation,True,,"10 patients in the cohort have five or more documented active conditions. These patients are Amelia Parker (52 conditions), Brooklyn Coleman (23 conditions), Dominic Webb (21 conditions), Lincoln Gray (20 conditions), Mason Lewis (14 conditions), Mia Scott (9 conditions), Samuel Richardson (9 conditions), Isabella Martin (8 conditions), Charlotte White (5 conditions), and Scarlett Gonzalez (5 conditions).",Multimorbidity >= 5 conditions,population_sql,22603,
POP9,Comorbidity Clustering and Multimorbidity,How many patients with heart failure also have an active depression diagnosis?,Synthesis,Cross-category comorbidity detection,True,,"Based on the query results, there are 0 patients with both heart failure and an active depression diagnosis. This is confirmed by the ""intersection_count"" being 0 and the ""patients_with_all_conditions"" list being empty.","Intersection of conditions: ['heart failure', 'active depression diagnosis']",population_sql,19165,
POP10,Comorbidity Clustering and Multimorbidity,Group my diabetic patients by glycaemic control status (controlled vs. uncontrolled) and summarise their other comorbidities.,Synthesis,Sub-cohort stratification + analytics,True,,"Based on the provided data, there are 0 patients with diabetes.","Stratification: obs=['glycaemic control'], cond=['diabetic patients']",population_sql,16911,
POP11,Medication and Safety Surveillance,Which patients are currently prescribed an NSAID and also have a documented peptic ulcer disease diagnosis or CKD?,Inference,Drug-disease interaction surveillance,False,No prescriptions/medications table in llm_ua_enterprise,"Based on the query results, 0 patients are currently prescribed an NSAID and also have a documented peptic ulcer disease diagnosis or CKD. The condition 'peptic ulcer disease diagnosis' is not documented in the EHR for any patient in the cohort.","Intersection of conditions: ['nsaid prescription', 'peptic ulcer disease diagnosis', 'ckd']",population_sql,21508,
POP12,Medication and Safety Surveillance,Find all patients on long-term corticosteroids with no osteoporosis diagnosis or DEXA scan on record.,Inference,Preventive care gap for medication risk,False,No prescriptions/medications table in llm_ua_enterprise,No patients in the cohort of 12 are on long-term corticosteroids with no osteoporosis diagnosis or DEXA scan on record. This is because the criteria breakdown shows that there are no patients with the required condition of long-term corticosteroids.,"Condition present=['long-term corticosteroids'], absent=['osteoporosis']",population_sql,21723,
POP13,Medication and Safety Surveillance,Which of my patients are prescribed both an anticoagulant and an antiplatelet agent without a documented indication for dual therapy?,Inference,Polypharmacy safety alert,False,No prescriptions/medications table in llm_ua_enterprise,0 patients are prescribed both an anticoagulant and an antiplatelet agent without a documented indication for dual therapy.,"Intersection of conditions: ['anticoagulant', 'antiplatelet agent']",population_sql,18793,
POP14,Medication and Safety Surveillance,How many patients have been prescribed opioids for more than 90 consecutive days in the past year?,Synthesis,Chronic opioid use surveillance,False,No prescriptions/medications table in llm_ua_enterprise,"Based on the structured query results, 0 patients have been prescribed opioids for more than 90 consecutive days in the past year. The criteria breakdown indicates that no patients met the required condition of having an opioid prescription, and no patients were excluded due to having an opioid prescription for less than 90 consecutive days.","Condition present=['opioid prescription'], absent=['opioid prescription for <= 90 consecutive days']",population_sql,22005,
POP15,Medication and Safety Surveillance,List patients who are currently on metformin but have documented eGFR < 30.,Inference,Guideline-based contraindication alert,False,No prescriptions/medications table in llm_ua_enterprise,"Based on the provided structured query results, there are 0 patients who are currently on metformin and have documented eGFR < 30. This is because the 'answer_count' is 0, indicating no patients meet the specified criteria.","Absence check: cond=['currently on metformin'], obs_absent=['eGFR >= 30'], date=None",population_sql,21788,
POP16,Preventive Care and Quality Metrics,How many of my diabetic patients aged 40-75 are not on a statin despite no documented contraindication?,Inference,Quality measure gap (HEDIS DM-CE),False,No prescriptions/medications table in llm_ua_enterprise,"Unfortunately, the structured data provided does not contain information about the patients' diabetic status, age, statin use, or contraindications. Therefore, I am unable to provide a direct clinical answer based on the given data.","Absence check: cond=['diabetic'], obs_absent=['statin prescription'], date=None",population_sql,20876,
POP17,Preventive Care and Quality Metrics,What percentage of my hypertensive patients have blood pressure controlled below 130/80 based on their most recent recorded reading?,Synthesis,Population BP control rate,True,,All 12 patients in the cohort have blood pressure readings recorded. 12 patients (100%) have blood pressure controlled below 130/80 based on their most recent recorded reading.,"Latest observation: ['blood pressure'], threshold: <130.0",population_sql,27024,
POP18,Preventive Care and Quality Metrics,Which patients over 50 in my panel have no documented colorectal cancer screening in the past 10 years?,Inference,Cancer screening gap detection,False,Colorectal cancer screening not documented in observations table,"Based on the structured query results, there are 0 patients over 50 in the panel with no documented colorectal cancer screening in the past 10 years. This is because the 'answer_count' is 0, indicating no patients meet the specified criteria.","Absence check: cond=['colorectal cancer'], obs_absent=['colorectal cancer screening'], date=>= DATE_SUB(NOW(), INTERVAL 10 YEAR)",population_sql,22058,
POP19,Preventive Care and Quality Metrics,How many patients with a previous MI have documented annual lipid panels?,Synthesis,Monitoring compliance metric,True,,"No patients with a previous MI have documented annual lipid panels. This is because the query results show an ""answer_count"" of 0, indicating no patients met the specified criteria.","Absence check: cond=['previous mi'], obs_absent=['lipid panel'], date=None",population_sql,18745,
POP20,Preventive Care and Quality Metrics,Find all patients in my panel who have been hospitalised in the past year and have no documented primary care follow-up within 30 days of discharge.,Inference,Transition of care quality metric,False,Encounters table only has AMB class; no inpatient/hospitalisation data,"Based on the structured query results, there are no patients in the cohort who have been hospitalised in the past year and have no documented primary care follow-up within 30 days of discharge. The answer count is 0, and the list of patients who meet this criterion is empty.","Absence check: cond=['hospitalised in the past year'], obs_absent=['primary care follow-up'], date=>= DATE_SUB(NOW(), INTERVAL 30 DAY)",population_sql,22874,
POP21,Cross-Hospital Utilisation and Care Coordination,Which patients have been seen at more than three different hospitals in the consortium in the past two years?,Synthesis,Multi-site utilisation tracking,True,,0 patients have been seen at more than three different hospitals in the consortium in the past two years.,"Cross-hospital: min_h=4, contradiction=False",population_sql,17205,
POP22,Cross-Hospital Utilisation and Care Coordination,"Are there patients in my panel whose diagnoses at one consortium hospital contradict diagnoses at another (e.g., coded as diabetic at one site and non-diabetic at another)?",Inference,Cross-site data coherence auditing,True,,There are no patients in your panel whose diagnoses at one consortium hospital contradict diagnoses at another. The query results show that the count of such contradictions is 0.,"Cross-hospital: min_h=3, contradiction=True",population_sql,18702,
POP23,Cross-Hospital Utilisation and Care Coordination,Find patients with a heart failure diagnosis who have had no echocardiogram recorded at any consortium site in the past two years.,Inference,Multi-site imaging gap detection,True,,"There are no patients in the cohort with a heart failure diagnosis who have had no echocardiogram recorded at any consortium site in the past two years. This is because the 'answer_count' is 0, indicating no patients meet the specified criteria.","Absence check: cond=['heart failure', 'congestive heart failure'], obs_absent=['echocardiogram'], date=None",population_sql,20252,
POP24,Cross-Hospital Utilisation and Care Coordination,Which of my complex patients have been seen by more than four specialities across the consortium in the past year?,Synthesis,Care coordination complexity index,False,Encounters table has no specialty/department field,"Based on the provided structured query results, it appears that no patients have been seen by more than four specialities across the consortium in the past year. The 'count' is 0, indicating that there are no patients meeting this criterion.","Cross-hospital: min_h=5, contradiction=False",population_sql,19445,
POP25,Cross-Hospital Utilisation and Care Coordination,"How many patients have had duplicate imaging studies (same modality, same body part) within 90 days across different consortium facilities?",Inference,Redundant utilisation detection,False,Imaging modality/body part not consistently coded in observations,"Based on the provided structured query results, no patients have had duplicate imaging studies (same modality, same body part) within 90 days across different consortium facilities. This is indicated by the 'count' field being 0.","Cross-hospital: min_h=2, contradiction=False",population_sql,19645,
